stop_id,stop_lat,stop_lon,count
43596,-36.3479316006377,145.412566296986,11
43597,-36.3542778884307,145.403109766228,11
43598,-36.3515286996094,145.412593548029,11
43599,-36.354202747484,145.413029586212,11
43600,-36.356225431244,145.413969228167,11
43601,-36.3574975706117,145.40930725219,11
43602,-36.357520612098,145.406977558932,11
43603,-36.3570113930559,145.403945479618,11
43604,-36.359389642311,145.402481510866,11
43605,-36.3624094236376,145.407880976536,11
43606,-36.3624082776235,145.411180012729,11
43607,-36.36064727504,145.411617039582,11
43608,-36.360169130342,145.414981403219,11
43609,-36.3632547656074,145.415866176993,11
43610,-36.3669236587219,145.415869811095,11
43611,-36.3707399877017,145.415435735191,11
43612,-36.3716219155936,145.412608893002,11
43613,-36.3735817454165,145.411532401794,11
43614,-36.3756017901241,145.409562853482,11
43615,-36.3780735820007,145.407673170914,11
43616,-36.3771339964542,145.400769787809,11
43617,-36.3781606572999,145.40002417359,32
43618,-36.3876636685696,145.399494968309,49
43619,-36.3867991339444,145.402924219913,19
43620,-36.3840992011316,145.406624976149,19
43622,-36.3841078468446,145.412689536319,19
43623,-36.3886116894564,145.411761785217,19
43624,-36.3907245890157,145.411350867403,19
43625,-36.3929450350486,145.410893136978,19
43626,-36.3969274999393,145.41007613283,19
43627,-36.3945540061983,145.410548180859,19
43628,-36.3992479583681,145.409683188286,37
43629,-36.404138227326,145.408669110689,37
43630,-36.4024209753289,145.409005212237,37
43631,-36.400272488976,145.409450444653,37
43632,-36.4084766886462,145.409539676581,19
43633,-36.4073021581785,145.411370202733,19
43635,-36.4063002374101,145.416698763321,38
43636,-36.404611545803,145.4083360678,38
43637,-36.4022829750214,145.408796156935,38
43638,-36.4003141325639,145.409193129056,38
43639,-36.3926907741327,145.410753368161,19
43640,-36.3908929970889,145.41113560168,19
43641,-36.3841505359815,145.412510293685,19
43643,-36.3845020583364,145.406416082479,19
43644,-36.387240843424,145.401577322036,48
43645,-36.3842352966457,145.402642211796,48
43646,-36.3865356339982,145.403442452704,19
43647,-36.3796823680031,145.405288186847,18
43648,-36.3808216345755,145.413670470122,18
43649,-36.3808349640494,145.415353540254,18
43652,-36.4027150852422,145.414173314417,18
43653,-36.3829477493049,145.416291709802,18
43654,-36.3847611814535,145.419811304846,37
43655,-36.3875987835672,145.423076252388,75
43657,-36.384836695147,145.415305770517,18
43658,-36.3876303851632,145.415249064117,18
43659,-36.390439889192,145.415704897867,18
43660,-36.3952751375722,145.419375458785,18
43661,-36.3853255242208,145.420223529981,36
43662,-36.3828839269171,145.416237263039,18
43663,-36.3808891833972,145.415363587939,18
43664,-36.3981246703516,145.41945155053,18
43665,-36.3808430216498,145.412566388406,18
43666,-36.3990370957792,145.416199408018,18
43667,-36.3993436071823,145.414163777963,18
43668,-36.4031162734254,145.412481338841,18
43669,-36.4018517633246,145.41161499006,18
43670,-36.4008067156387,145.412338763778,18
43671,-36.3994284260006,145.411051034736,18
43672,-36.4043168147448,145.403814654211,18
43673,-36.4039101319692,145.401715391255,18
43674,-36.4012351713419,145.401212642056,18
43675,-36.3695081576161,145.393402156183,21
43676,-36.3687637723335,145.393684973425,21
43677,-36.3629949086433,145.390359654361,21
43678,-36.3724757270586,145.394210565989,21
43679,-36.3555350899922,145.368068710137,12
43680,-36.3542961430893,145.365798896212,12
43681,-36.361320474969,145.370578138625,12
43682,-36.3583877922975,145.397676324342,12
43683,-37.7132397164122,145.148170067414,1606
43684,-38.1153504510006,145.179372344269,113
43685,-37.995301938746,145.143990959119,1305
43686,-37.563161893121,144.699603154744,128
43687,-38.0038091088115,145.142284509103,1390
43688,-36.4068718835111,145.408167284385,19
43689,-36.3931783261527,145.402704504117,29
43690,-36.9916371646541,147.148798957663,24
43691,-36.388482567785,145.404105024937,30
43692,-36.3898594182662,145.406630050362,30
43693,-36.3912622934223,145.406378425894,30
43694,-36.393096099792,145.40599534506,30
43695,-36.3931270038131,145.402237267401,30
43696,-36.3943804557777,145.401598365279,30
43697,-36.3970864494313,145.401052333126,30
43698,-36.3992476447496,145.400885394968,30
43699,-36.4012178940332,145.401268750286,19
43700,-36.4038644759521,145.401671721625,19
43701,-36.4045375692194,145.404144677617,19
